C:\Users\Liam\Desktop\customer_churn
customer_id,churn_probability,churn_prediction
7590-VHVEG,0.032381630843869500,0
5575-GNVDE,0.0822208601688015,0
3668-QPYBK,0.2382910536666590,0
7795-CFOCW,0.04953475373646900,0
9237-HQITU,0.4752505053850040,0
9305-CDSKC,0.2614300627068870,0
1452-KIOVK,0.6937023845616720,1
6713-OKOMC,0.7211881462595520,1
7892-POOKP,0.07946801403398880,0
6388-TABGU,0.007464874402264210,0
9763-GRSKD,0.18382097705719800,0
7469-LKBCI,0.3533299962677140,0
8091-TTVAX,0.07379235919904990,0
0280-XJGEX,0.42216597337201900,0
5129-JLPIS,0.07162492029632350,0
3655-SNQYZ,0.005889966949327750,0
8191-XWSZG,0.01445688630412130,0
9959-WOFKT,0.033296308810829300,0
4190-MFLUW,0.060734043036816500,0
4183-MYFRB,0.012683979944827600,0
8779-QRDMV,0.03130826599384270,0
1680-VDCWW,0.07715889457822180,0
1066-JKSGK,0.3498715278300320,0
3638-WEABW,0.047245614903222800,0
6322-HRPFA,0.1443819415707420,0
6865-JZNKO,0.6161870322584100,1
6467-CHFZW,0.539226046921133,1
8665-UTDHZ,0.5686717708298580,1
5248-YGIJN,0.03642044804488890,0
8773-HHUOZ,0.2511470825324360,0
3841-NFECX,0.046220229930883200,0
4929-XIHVW,0.35952532080279900,0
6827-IEAUQ,0.09384005662247430,0
7310-EGVHZ,0.17929466620696900,0
3413-BMNZE,0.7381790577915260,1
6234-RAAPL,0.12781470167538000,0
6047-YHPVI,0.37611787822164100,0
6572-ADKRS,0.05654479632146120,0
5380-WJKOV,0.6361283904240560,1
8168-UQWWF,0.2000920892787920,0
8865-TNMNX,0.026373083797439500,0
9489-DEDVP,0.01896204668098970,0
9867-JCZSP,0.3631058926828940,0
4671-VJLCL,0.7483721959657380,1
4080-IIARD,0.2691869042105840,0
3714-NTNFO,0.6197584838515930,1
5948-UJZLF,0.6042321687126250,1
7760-OYPDY,0.030454540217391200,0
7639-LIAYI,0.4808028791991280,0
2954-PIBKO,0.14519441721548500,0
8012-SOUDQ,0.023302401221301800,0
9420-LOJKX,0.03668119582717890,0
6575-SUVOI,0.07703058356283100,0
7495-OOKFY,0.012756572582307200,0
4667-QONEA,0.005837404739354440,0
1658-BYGOY,0.045261532991096600,0
8769-KKTPH,0.03328191495142030,0
5067-XJQFU,0.018410953069843900,0
3957-SQXML,0.779971717578814,1
5954-BDFSG,0.2019542376014640,0
0434-CSFON,0.03820473471145040,0
1215-FIGMP,0.06305592082016010,0
0526-SXDJP,0.020960892354410100,0
0557-ASKVU,0.10839037898351600,0
5698-BQJOH,0.8396837862320860,1
5122-CYFXA,0.008347300838067760,0
8627-ZYGSZ,0.17929466620696900,0
3410-YOQBQ,0.37099132973446800,0
3170-NMYVV,0.4689375957509630,0
7410-OIEDU,0.661412145280822,1
2273-QCKXA,0.08686410262751940,0
0731-EBJQB,0.2543975877243650,0
1891-QRQSA,0.6494188528608150,1
8028-PNXHQ,0.3657065625568800,0
5630-AHZIL,0.08016189406750700,0
2673-CXQEU,0.009238638673807300,0
6416-JNVRK,0.19517315414819100,0
5590-ZSKRV,0.20913342392260500,0
0191-ZHSKZ,0.5521674871587300,1
3887-PBQAO,0.24146366486543900,0
5919-TMRGD,0.18667786635680200,0
8108-UXRQN,0.7851607606244150,1
9191-MYQKX,0.049642778954530800,0
9919-YLNNG,0.5404605195652850,1
0318-ZOPWS,0.16542947985074200,0
4445-ZJNMU,0.7314172626627660,1
4808-YNLEU,0.1716281982359680,0
1862-QRWPE,0.6907953867463090,1
2796-NNUFI,0.033379059902745400,0
3016-KSVCP,0.24069056958663700,0
4767-HZZHQ,0.18059567900208700,0
2424-WVHPL,0.02244827446743470,0
7233-PAHHL,0.2020128491060670,0
6067-NGCEU,0.5964610695204660,1
9848-JQJTX,0.5697141806753340,1
8637-XJIVR,0.7431300758205820,1
9803-FTJCG,0.7057536812497790,1
0278-YXOOG,0.01476245234197400,0
3212-KXOCR,0.5362781832158550,1
4598-XLKNJ,0.3976360403193280,0
6380-ARCEH,0.061314644950167400,0
3679-XASPY,0.12136571990341700,0
7123-WQUHX,0.6823662667560300,1
5386-THSLQ,0.20404326080448400,0
3192-NQECA,0.00802536295627237,0
6180-YBIQI,0.2879865368307190,0
6728-DKUCO,0.5700776234185280,1
9750-BOOHV,0.39338221387833200,0
8597-CWYHH,0.18716020374485200,0
2848-YXSMW,0.4241291260949900,0
0486-HECZI,0.08780485205324460,0
4549-ZDQYY,0.024200152898541400,0
5712-AHQNN,0.01430890552313690,0
4846-WHAFZ,0.020357794689419500,0
5256-SKJGO,0.007654552367468770,0
3071-VBYPO,0.07555062054052640,0
9560-BBZXK,0.0560650918614761,0
5299-RULOA,0.013735145737562500,0
8402-OOOHJ,0.02443380690437850,0
9445-ZUEQE,0.045382698050855800,0
1091-SOZGA,0.6113449303267800,1
2928-HLDBA,0.4316263090194940,0
0404-SWRVG,0.47734379110008200,0
6497-TILVL,0.35995123503484600,0
7219-TLZHO,0.28169378823693700,0
4622-YNKIJ,0.030389051222411800,0
4412-YLTKF,0.7314108115264480,1
6734-PSBAW,0.707838943946491,1
3930-ZGWVE,0.0877546784657958,0
2639-UGMAZ,0.5705090525112150,1
2876-GZYZC,0.028746538392287,0
6207-WIOLX,0.5816271612759480,1
8587-XYZSF,0.7368073909060470,1
3091-FYHKI,0.453113297868368,0
2372-HWUHI,0.5237184771681140,1
7799-LGRDP,0.10452028652504700,0
7850-VWJUU,0.050580108634606800,0
3774-VBNXY,0.5145725012551160,1
6217-KDYWC,0.5608884705001460,1
0390-DCFDQ,0.058047531150603900,0
3146-MSEGF,0.2596011224887580,0
4080-OGPJL,0.08912550881403170,0
1095-WGNGG,0.11265071674100000,0
2636-SJDOU,0.7349296722135390,1
1131-QQZEB,0.37119781668278100,0
5716-EZXZN,0.00788953507940277,0
6837-BJYDQ,0.8145740793652640,1
2135-RXIHG,0.032261077240662300,0
6440-DKQGE,0.05628094596439150,0
3466-BYAVD,0.40973395779802700,0
3780-YVMFA,0.6356928735089830,1
3874-EQOEP,0.6591550791956680,1
1679-JRFBR,0.03194630684965110,0
9073-ZZIAY,0.18667786635680200,0
3077-RSNTJ,0.5629703586394220,1
6551-GNYDG,0.24121886365824300,0
9167-APMXZ,0.059226821218041300,0
2749-CTKAJ,0.37204525324146500,0
6371-NZYEG,0.07733131126598440,0
7554-NEWDD,0.6029333652323730,1
